Praise,Acclaim,praise publicly.,The work was Acclaimed as a masterpiece,
Praise,Accolade,an award or praise.,Meryl Streep has received many Accolades for her performances,
Praise,Applaud,praise highly.,He started to Applaud and the others joined in,
Praise,Approbation,praise or approval.,There was widespread Approbation of the new president,
Praise,Commendable,deserving Praise.,She showed Commendable loyalty to the family firm,
Praise,Eulogy,a speech or writing that praises someone.,Several eulogies were given at the special assembly marking the retirement o,
Praise,Exalt,raise someone or something to a higher rank or position.,His son was Exalted to a high position in the government through famil,
Praise,Extol,praise highly.,Doctors often Extol the virtues of eating less fat,
Praise,Glorify,honor or praise highly.,He denies that the movie glorifies violence,
Praise,Hail,praise enthusiastically.,The conference was Hailed as a great success,
Praise,Laud,praise highly,He was Lauded for his courage,
Praise,Lionize,give a lot of public appreciation and attention.,The visiting poet was Lionized in Vienna,
Praise,Plaudit,praise,His work won him Plaudits from the critics,
Rebellious/ unconventional,Dissident,going against an official policy or authority.,There were Dissident elements within the Catholic Church,
Rebellious/ unconventional,Heresy,opinions that are contrary to what is accepted or expected.,Laws of Heresy killed people for contradicting the church and its texts,
Rebellious/ unconventional,Heretical,holding opinions that are contrary to what is accepted or expected.,The religious people didn't cast vote in favor of the politician because of hi,
Rebellious/ unconventional,Heterodox,unorthodox.,Her Heterodox approach to teaching science initially met with some resistanc,
Rebellious/ unconventional,Iconoclast,a person who attacks cherished beliefs and institutions.,Notorious as an Iconoclast, that critic isn't afraid to go against the societal rules,
Rebellious/ unconventional,Insurgent,a rebellious person.,There was an attack by armed Insurgents,
Rebellious/ unconventional,Insurrection,an act of rebellion.,An armed Insurrection against the regime,
Rebellious/ unconventional,Maverick,a person who does not accept orthodox beliefs.,The Maverick detective managed to crack the case,
Rebellious/ unconventional,Non comformist,one who refuses to be restricted by set beliefs and customs.,He was a nonconformist when he was in college,
Rebellious/ unconventional,Radical,moving away or departing from the usual customs.,There is a need for Radical changes in education,
Rebellious/ unconventional,Reactionary,opposing social or political change.,Reactionary guardians of proper English usage invariably regard every ne,
Rebellious/ unconventional,Renegade,a person who leaves and betrays an organization, country or principle.,He is a Renegade priest,
Rebellious/ unconventional,Revolutionary,bringing a complete change.,The effects of technological development are Revolutionary,
Rebellious/ unconventional,Subversive,harming or weakening an established institution.,It was a politically Subversive decision,
Rebellious/ unconventional,Unconventional,not following conventions.,The magazine describes him as an Unconventional artist,
Rebellious/ unconventional,X Conservative,following traditions and customs.,Her style of dressing was never conservative,
Rebellious/ unconventional,X Convention,following traditions and customs.,She is a young woman who enjoys going against conventions,
Rebellious/ unconventional,X Orthodox,following traditions and customs.,He is very orthodox in his views,
Reduce,DEPLETE,reduce or use up something.,Food supplies were severely DEPLETEd,
Reduce,DEPRECIATE,become less valuable over a period of time.,New cars start to DEPRECIATE as soon as they are on the road,
Reduce,X AMASS,to collect something, especially in large quantities.,They amassed a truckload of donations,
Reduce,X STOCKPILE,a large amount of things stored.,Coal reserves represent the largest stockpile of nonrenewable resources in th,
Time Related,Anachronism,a thing that belongs to a period other than which it actually exists in.,The monarchy is seen by many people as an Anachronism in the modern world,
Time Related,Chronicle,record events according to order of occurance.,She started to Chronicle her experiences on her blog,
Time Related,Chronological,according to date and time.,The facts should be presented in Chronological order,
To defeat / x Cannot Defeat,Capitulate,agree to or give in to something.,They were finally forced to capitulate to the terrorists demands,
To defeat / x Cannot Defeat,Drub,defeat thoroughly.,The host team was Drubbed in the rugby match,
To defeat / x Cannot Defeat,Rout,defeat thoroughly.,Only the skill of the goalkeeper preented the team from getting Routed,
To defeat / x Cannot Defeat,Subugate,to bring under complete control;conquer.,Terror was used purposefully to Subugate the entire population,
To defeat / x Cannot Defeat,Vanuish,defeat thoroughly.,They enemy was Vanuished in the battle,
To defeat / x Cannot Defeat,X Imperious,can not be attacked influenced or defeated.,The place contained eerything that was needed to support life underground an,
To defeat / x Cannot Defeat,X indomitable,can not be defeated.,An indomitable warrior,
To defeat / x Cannot Defeat,X Inincible,can not be defeated,The team seemed invincibl,
Troubled,Beleaguered,put in a difficulty.,The lack of funds beleaguers a lot of schools in the area,
Troubled,Beset,trouble continuously.,Pollution is the greatest problem Besetting the city today,
Troubled,Plagued,troubled persistently.,The team was Plagued by a lot of mismanagement issues,
Warning/ Scolding,Admonish,to warm someone.,The trial judge tried to Admonish the jury and cure the error,
Warning/ Scolding,Censure,criticism.,The country faces international Censure for its alleged involvement in th,
Warning/ Scolding,Chastise,criticize severely.,Do not use the record to insult or Chastise the patient,
Warning/ Scolding,Chide,to scold someone.,She Chided herself for being so impatient with the children,
Warning/ Scolding,Rebuke,to criticize severely.,The company was publicly Rebuked for neglecting the procedures,
Warning/ Scolding,Reprimand,to disapprove severely.,The officers were severely Reprimanded for their unprofessional behavior,
Warning/ Scolding,Reproach,to express disapproval or criticize.,Critics Reproach the eighteenth century because of its artificiality,
Warning/ Scolding,Reprove,to disapprove of something or someone.,He Reproved her for taking a rash decision,
Add /support,Complement,to add to someting or improvement.,The excellent menu is Complemented by a good wine list,
Aggressive/ argument,Bellicose,ready to fight and argue.,Bellicose hockey players who always seem to spend more time fighting tha,
Aggressive/ argument,Belligerent,unfriendly and aggressive.,The coach became quite Belligerent and spit at an umpire after being thrown ou,
Aggressive/ argument,Contentious,controversial.,After a Contentious debate, members of the committee finally voted to approv,
Aggressive/ argument,Disputatious,argumentative or causing a dispute.,We have a community of smart, thoughtful, and often Disputatious people,
Aggressive/ argument,Fractious,bad tempered.,The Fractious crowd grew violent,
Aggressive/ argument,Hostility,unfriendly and aggressive.,They went through the divorce proceedings without any Hostility,
Aggressive/ argument,Litigous,too ready to take disagreements to court.,Do not put anything in an email that may come back to haunt you in today',
Aggressive/ argument,Polemical,argumentative or controversial.,An unnecessarily Polemical look at the supposed incompatibility betwee,
Aggressive/ argument,Pugnacious,having a desire to fight and argue.,There's one Pugnacious member on the committee who won't agree to anything,
Aggressive/ argument,Truculent,ready to argue or fight.,Die-hard fans became Truculent and violent after their team's loss,
Agreement /harmony,CHASM,a deep divide or difference.,The chasm between the initial vision and the final product is shocking,
Agreement /harmony,GULF,a large difference.,Gulf between wealthy countries and poor countries,
Agreement /harmony,RIFT,a difference in opinion,belief or friendly relation.,Efforts to heal the rift between the two countries have failed,
Agreement /harmony,SCHISM,a division or difference.,There is a schism between leading members of the party,
Agreement /harmony,Accord,agreement.,The two sides signed a peace accord last july,
Agreement /harmony,Concord,agreement.,Living in Concord with people of different races and religions,
Agreement /harmony,Conformity,agreement.,The corporate culture demands a certain Conformity of appearance,
Agreement /harmony,Congruous,in agreement or consistent with.,When performing his soicial duties the president must be dressed in clothes tha,
Agreement /harmony,Consonance,agreement,At present the living room lacks Consonance because all the furniture is on on,
Agreement /harmony,X Discord,disagreement,The city has long been known as a city of racial intolerance and discor,
Argue /fight,Altercation,a noisy argument or fight.,There was some sort of Altercation going on around the accident site,
Argue /fight,Bicker,to argue about unimportant things.,After prolonged Bickering, they finally managed to find a movie that both o,
Argue /fight,Brawl,a noisy argument or fight.,There was a Brawl in parliament when the pact was debated,
Argue /fight,Combat,a fight.,Some of these soldiers have never seen a Combat,
Argue /fight,Contend,struggle in opposition or fight.,The troops had to Contend with the enemy for control of the port,
Argue /fight,Fracas,a noisy argument or fight.,Police are prepared for any Fracas that might follow the soccer game,
Argue /fight,Melee,a confused fight.,A verbal disagreement at the football game soon turned into a Melee involving ,
Argue /fight,Quibble,complain and argue about small matters.,He spent the entire evening quibbling about the historical inaccuracies in th,
Argue /fight,Row,a quarell.,He was engaged in a Row with his classmates,
Argue /fight,Squabble,argue noisily about unimportant things.,Frightened by noise of the Squabble, the kid hid under the couch,
